year,CO2 (ppmv),Temperature,Mean CH4,unc
-581049,,-6.31,,
-580956,,,482.0,
-580886,209.88341782048894,,,
-580642,,-5.72,,
-580504,215.44586651227405,,,
-580263,,-4.81,,
-580024,,,488.0,
-579978,219.41265806017452,,,
-579896,,-4.23,,
-579596,225.2070402346668,,,
-579557,,-4.1,,
-579243,,-3.45,,
-579168,230.2553890769855,,,
-579114,,,484.0,
-578928,,-2.81,,
-578864,236.17021956160747,,,
-578648,,-3.04,,
-578451,243.8071398156684,,,
-578385,,-2.31,,
-578373,,,505.0,
-578260,244.13978325747763,,,
-578134,,-1.46,,
-578004,,,521.0,
-577886,,-1.07,,
-577883,251.47302309267096,,,
-577788,,,609.0,
-577642,,-1.16,,
-577402,,-1.06,,
-577330,252.92340485161623,,,
-577199,,,618.0,
-577164,,-1.1,,
-576933,,-1.08,,
-576792,249.0568689785398,,,
-576695,,-0.92,,
-576642,,,602.0,
-576452,,-1.36,,
-576246,251.0792763522184,,,
-576216,,-1.71,,
-576100,,,602.0,
-575982,,-1.83,,
-575734,,-1.95,,
-575703,251.34172534675196,,,
-575583,,,579.0,
-575497,,-2.27,,
-575264,,-1.87,,
-575165,251.2965766771463,,,
-575052,,,597.0,
-575031,,-1.83,,
-574799,,-1.95,,
-574649,252.8973536409592,,,
-574573,,-2.11,,
-574553,,,584.0,
-574347,,-1.73,,
-574162,252.543697553062,,,
-574126,,-1.73,,
-574039,,,589.0,
-573911,,-1.62,,
-573704,,-1.42,,
-573704,248.8639219697805,,,
-573573,,,581.0,
-573502,,-1.14,,
-573294,,-0.99,,
-573283,252.08002667419618,,,
-573097,,,600.0,
-573090,,-1.37,,
-572887,,-1.22,,
-572856,251.86150476654132,,,
-572681,,-1.23,,
-572646,,,605.0,
-572478,,-1.41,,
-572414,251.7666008144979,,,
-572267,,-1.31,,
-572197,,,620.0,
-572066,,-1.76,,
-571963,248.72078039844754,,,
-571864,,-1.29,,
-571749,,,598.0,
-571658,,-1.35,,
-571525,249.18618138857704,,,
-571442,,-1.63,,
-571312,,,613.0,
-571243,,-2.15,,
-571103,247.65697248974385,,,
-571041,,-1.32,,
-570899,,,612.0,
-570840,,-1.53,,
-570719,246.30955184938028,,,
-570633,,-1.43,,
-570475,,,614.0,
-570428,,-1.86,,
-570365,250.3009961681342,,,
